1767643302.461387 server started (3948): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1767643302.461420 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jul 14 11:30:29 PDT 2025; root:xnu-11417.140.69~1/RELEASE_ARM64_T6000
1767643302.461425 using libevent 2.1.12-stable select
1767643302.461432 using utf8proc 2.11.2
1767643302.461436 using ncurses 6.5 20240427
1767643302.478569 cmd_parse_build_commands 0:0: respawn-pane
1767643302.478572 cmd_parse_build_commands 0:1: -k
1767643302.478577 args_parse_flags: next -k
1767643302.478580 args_parse_flags: -k
1767643302.478583 args_parse: flags end at 2 of 2
1767643302.478587 cmd_parse_build_commands: respawn-pane -k
1767643302.478590 cmd_parse_build_commands 0:0: select-pane
1767643302.478592 cmd_parse_build_commands 0:1: -m
1767643302.478596 args_parse_flags: next -m
1767643302.478599 args_parse_flags: -m
1767643302.478602 args_parse: flags end at 2 of 2
1767643302.478605 cmd_parse_build_commands: select-pane -m
1767643302.478609 cmd_parse_build_commands 0:0: resize-pane
1767643302.478611 cmd_parse_build_commands 0:1: -Z
1767643302.478614 args_parse_flags: next -Z
1767643302.478616 args_parse_flags: -Z
1767643302.478623 args_parse: flags end at 2 of 2
1767643302.478627 cmd_parse_build_commands: resize-pane -Z
1767643302.478629 args_parse_flags: next -xP
1767643302.478632 args_parse_flag_argument: -x = P
1767643302.478634 args_parse_flags: next -yP
1767643302.478638 args_parse_flag_argument: -y = P
1767643302.478641 args_parse_flags: next -T
1767643302.478644 args_parse_flag_argument: -T = #[align=centre]#{pane_index} (#{pane_id})
1767643302.478647 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1767643302.478649 args_parse: flags end at 5 of 61
1767643302.478653 args_parse: 5 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,} (type STRING)
1767643302.478657 args_parse: 6 = < (type STRING)
1767643302.478661 args_parse: 7 = send-keys -X history-top (type COMMANDS)
1767643302.478665 args_parse: 8 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,} (type STRING)
1767643302.478669 args_parse: 9 = > (type STRING)
1767643302.478675 args_parse: 10 = send-keys -X history-bottom (type COMMANDS)
1767643302.478679 args_parse: 11 =  (type STRING)
1767643302.478682 args_parse: 12 = #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},} (type STRING)
1767643302.478685 args_parse: 13 = C-r (type STRING)
1767643302.478696 args_parse: 14 = if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" (type COMMANDS)
1767643302.478701 args_parse: 15 = #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},} (type STRING)
1767643302.478703 args_parse: 16 = C-y (type STRING)
1767643302.478708 args_parse: 17 = copy-mode -q ; send-keys -l "#{q:mouse_word}" (type COMMANDS)
1767643302.478711 args_parse: 18 = #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},} (type STRING)
1767643302.478713 args_parse: 19 = c (type STRING)
1767643302.478718 args_parse: 20 = copy-mode -q ; set-buffer "#{q:mouse_word}" (type COMMANDS)
1767643302.478720 args_parse: 21 = #{?mouse_line,Copy Line,} (type STRING)
1767643302.478723 args_parse: 22 = l (type STRING)
1767643302.478727 args_parse: 23 = copy-mode -q ; set-buffer "#{q:mouse_line}" (type COMMANDS)
1767643302.478730 args_parse: 24 =  (type STRING)
1767643302.478733 args_parse: 25 = #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1767643302.478736 args_parse: 26 = C-h (type STRING)
1767643302.478740 args_parse: 27 = copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" (type COMMANDS)
1767643302.478743 args_parse: 28 = #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1767643302.478746 args_parse: 29 = h (type STRING)
1767643302.478750 args_parse: 30 = copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" (type COMMANDS)
1767643302.478753 args_parse: 31 =  (type STRING)
1767643302.478756 args_parse: 32 = Horizontal Split (type STRING)
1767643302.478759 args_parse: 33 = h (type STRING)
1767643302.478763 args_parse: 34 = split-window -h (type COMMANDS)
1767643302.478766 args_parse: 35 = Vertical Split (type STRING)
1767643302.478771 args_parse: 36 = v (type STRING)
1767643302.478776 args_parse: 37 = split-window -v (type COMMANDS)
1767643302.478779 args_parse: 38 =  (type STRING)
1767643302.478783 args_parse: 39 = #{?#{>:#{window_panes},1},,-}Swap Up (type STRING)
1767643302.478787 args_parse: 40 = u (type STRING)
1767643302.478790 args_parse: 41 = swap-pane -U (type COMMANDS)
1767643302.478794 args_parse: 42 = #{?#{>:#{window_panes},1},,-}Swap Down (type STRING)
1767643302.478797 args_parse: 43 = d (type STRING)
1767643302.478801 args_parse: 44 = swap-pane -D (type COMMANDS)
1767643302.478804 args_parse: 45 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1767643302.478807 args_parse: 46 = s (type STRING)
1767643302.478810 args_parse: 47 = swap-pane (type COMMANDS)
1767643302.478814 args_parse: 48 =  (type STRING)
1767643302.478816 args_parse: 49 = Kill (type STRING)
1767643302.478819 args_parse: 50 = X (type STRING)
1767643302.478824 args_parse: 51 = kill-pane (type COMMANDS)
1767643302.478828 args_parse: 52 = Respawn (type STRING)
1767643302.478837 args_parse: 53 = R (type STRING)
1767643302.478842 args_parse: 54 = respawn-pane -k (type COMMANDS)
1767643302.478845 args_parse: 55 = #{?pane_marked,Unmark,Mark} (type STRING)
1767643302.478848 args_parse: 56 = m (type STRING)
1767643302.478851 args_parse: 57 = select-pane -m (type COMMANDS)
1767643302.478854 args_parse: 58 = #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom} (type STRING)
1767643302.478857 args_parse: 59 = z (type STRING)
1767643302.478861 args_parse: 60 = resize-pane -Z (type COMMANDS)
1767643302.478935 cmd_parse_build_commands: display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -x P -y P "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
1767643302.478938 args_parse_flags: next -N
1767643302.478941 args_parse_flag_argument: -N = Display pane menu
1767643302.478944 args_parse_flags: next >
1767643302.478946 args_parse: flags end at 3 of 5
1767643302.478948 args_parse: 3 = > (type STRING)
1767643302.479017 args_parse: 4 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -x P -y P "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1767643302.479086 cmd_parse_build_commands: bind-key -N "Display pane menu" > { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -x P -y P "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1767643302.479113 cmdq_get_command: [bind-key/0x139d06410] group 758
1767643302.479117 cmdq_append <global>: [bind-key/0x139d06410]
1767643302.479120 yylex_token: end at WS
1767643302.479123 yylex_token: bind
1767643302.479125 yylex_token: end at WS
1767643302.479128 yylex_token: -n
1767643302.479131 yylex_token: end at WS
1767643302.479133 yylex_token: MouseDown1Pane
1767643302.479135 yylex_token: end at WS
1767643302.479137 yylex_token: select-pane
1767643302.479140 yylex_token: end at ;
1767643302.479142 yylex_token: -t=
1767643302.479145 yylex_token: end at WS
1767643302.479147 yylex_token: send
1767643302.479149 yylex_token: end at WS
1767643302.479151 yylex_token: -M
1767643302.479155 cmd_parse_build_commands 0:0: bind
1767643302.479158 cmd_parse_build_commands 0:1: -n
1767643302.479160 cmd_parse_build_commands 0:2: MouseDown1Pane
1767643302.479163 cmd_parse_build_commands 0:3 0:0: select-pane
1767643302.479166 cmd_parse_build_commands 0:3 0:1: -t=
1767643302.479169 cmd_parse_build_commands 0:3 1:0: send
1767643302.479171 cmd_parse_build_commands 0:3 1:1: -M
1767643302.479175 cmd_parse_build_commands 0:0: select-pane
1767643302.479177 cmd_parse_build_commands 0:1: -t=
1767643302.479180 cmd_parse_build_commands 1:0: send
1767643302.479182 cmd_parse_build_commands 1:1: -M
1767643302.479186 args_parse_flags: next -t=
1767643302.479190 args_parse_flag_argument: -t = =
1767643302.479194 args_parse: flags end at 2 of 2
1767643302.479198 args_parse_flags: next -M
1767643302.479200 args_parse_flags: -M
1767643302.479203 args_parse: flags end at 2 of 2
1767643302.479208 cmd_parse_build_commands: select-pane -t = ; send-keys -M
1767643302.479210 args_parse_flags: next -n
1767643302.479213 args_parse_flags: -n
1767643302.479215 args_parse_flags: next MouseDown1Pane
1767643302.479218 args_parse: flags end at 2 of 4
1767643302.479221 args_parse: 2 = MouseDown1Pane (type STRING)
1767643302.479225 args_parse: 3 = select-pane -t = ; send-keys -M (type COMMANDS)
1767643302.479232 cmd_parse_build_commands: bind-key -n MouseDown1Pane { select-pane -t = ; send-keys -M }
1767643302.479237 cmdq_get_command: [bind-key/0x139d06740] group 840
1767643302.479239 cmdq_append <global>: [bind-key/0x139d06740]
1767643302.479242 yylex_token: end at WS
1767643302.479245 yylex_token: bind
1767643302.479247 yylex_token: end at WS
1767643302.479250 yylex_token: -n
1767643302.479252 yylex_token: end at WS
1767643302.479255 yylex_token: MouseDrag1Pane
1767643302.479257 yylex_token: end at WS
1767643302.479260 yylex_token: if
1767643302.479262 yylex_token: end at WS
1767643302.479265 yylex_token: -F
1767643302.479269 yylex_token: end at WS
1767643302.479272 yylex_token: #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479274 yylex_token: end at WS
1767643302.479276 yylex_token: send
1767643302.479279 yylex_token: end at WS
1767643302.479281 yylex_token: -M
1767643302.479288 yylex_token: end at WS
1767643302.479290 yylex_token: copy-mode
1767643302.479293 yylex_token: end at WS
1767643302.479295 yylex_token: -M
1767643302.479299 cmd_parse_build_commands 0:0: bind
1767643302.479301 cmd_parse_build_commands 0:1: -n
1767643302.479303 cmd_parse_build_commands 0:2: MouseDrag1Pane
1767643302.479306 cmd_parse_build_commands 0:3 0:0: if
1767643302.479310 cmd_parse_build_commands 0:3 0:1: -F
1767643302.479314 cmd_parse_build_commands 0:3 0:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479318 cmd_parse_build_commands 0:3 0:3 0:0: send
1767643302.479321 cmd_parse_build_commands 0:3 0:3 0:1: -M
1767643302.479325 cmd_parse_build_commands 0:3 0:4 0:0: copy-mode
1767643302.479329 cmd_parse_build_commands 0:3 0:4 0:1: -M
1767643302.479333 cmd_parse_build_commands 0:0: if
1767643302.479335 cmd_parse_build_commands 0:1: -F
1767643302.479338 cmd_parse_build_commands 0:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479341 cmd_parse_build_commands 0:3 0:0: send
1767643302.479344 cmd_parse_build_commands 0:3 0:1: -M
1767643302.479347 cmd_parse_build_commands 0:4 0:0: copy-mode
1767643302.479351 cmd_parse_build_commands 0:4 0:1: -M
1767643302.479355 cmd_parse_build_commands 0:0: send
1767643302.479359 cmd_parse_build_commands 0:1: -M
1767643302.479362 args_parse_flags: next -M
1767643302.479364 args_parse_flags: -M
1767643302.479367 args_parse: flags end at 2 of 2
1767643302.479371 cmd_parse_build_commands: send-keys -M
1767643302.479373 cmd_parse_build_commands 0:0: copy-mode
1767643302.479376 cmd_parse_build_commands 0:1: -M
1767643302.479378 args_parse_flags: next -M
1767643302.479381 args_parse_flags: -M
1767643302.479383 args_parse: flags end at 2 of 2
1767643302.479387 cmd_parse_build_commands: copy-mode -M
1767643302.479390 args_parse_flags: next -F
1767643302.479393 args_parse_flags: -F
1767643302.479395 args_parse_flags: next #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479398 args_parse: flags end at 2 of 5
1767643302.479400 args_parse: 2 = #{||:#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1767643302.479404 args_parse: 3 = send-keys -M (type COMMANDS)
1767643302.479407 args_parse: 4 = copy-mode -M (type COMMANDS)
1767643302.479414 cmd_parse_build_commands: if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -M }
1767643302.479417 args_parse_flags: next -n
1767643302.479420 args_parse_flags: -n
1767643302.479422 args_parse_flags: next MouseDrag1Pane
1767643302.479425 args_parse: flags end at 2 of 4
1767643302.479428 args_parse: 2 = MouseDrag1Pane (type STRING)
1767643302.479434 args_parse: 3 = if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -M } (type COMMANDS)
1767643302.479444 cmd_parse_build_commands: bind-key -n MouseDrag1Pane { if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -M } }
1767643302.479450 cmdq_get_command: [bind-key/0x139d06d70] group 849
1767643302.479452 cmdq_append <global>: [bind-key/0x139d06d70]
1767643302.479455 yylex_token: end at WS
1767643302.479457 yylex_token: bind
1767643302.479460 yylex_token: end at WS
1767643302.479464 yylex_token: -n
1767643302.479468 yylex_token: end at WS
1767643302.479470 yylex_token: WheelUpPane
1767643302.479472 yylex_token: end at WS
1767643302.479474 yylex_token: if
1767643302.479476 yylex_token: end at WS
1767643302.479478 yylex_token: -F
1767643302.479483 yylex_token: end at WS
1767643302.479485 yylex_token: #{||:#{alternate_on},#{pane_in_mode},#{mouse_any_flag}}
1767643302.479487 yylex_token: end at WS
1767643302.479490 yylex_token: send
1767643302.479492 yylex_token: end at WS
1767643302.479495 yylex_token: -M
1767643302.479498 yylex_token: end at WS
1767643302.479500 yylex_token: copy-mode
1767643302.479503 yylex_token: end at WS
1767643302.479505 yylex_token: -e
1767643302.479508 cmd_parse_build_commands 0:0: bind
1767643302.479511 cmd_parse_build_commands 0:1: -n
1767643302.479513 cmd_parse_build_commands 0:2: WheelUpPane
1767643302.479515 cmd_parse_build_commands 0:3 0:0: if
1767643302.479518 cmd_parse_build_commands 0:3 0:1: -F
1767643302.479527 cmd_parse_build_commands 0:3 0:2: #{||:#{alternate_on},#{pane_in_mode},#{mouse_any_flag}}
1767643302.479531 cmd_parse_build_commands 0:3 0:3 0:0: send
1767643302.479534 cmd_parse_build_commands 0:3 0:3 0:1: -M
1767643302.479536 cmd_parse_build_commands 0:3 0:4 0:0: copy-mode
1767643302.479538 cmd_parse_build_commands 0:3 0:4 0:1: -e
1767643302.479542 cmd_parse_build_commands 0:0: if
1767643302.479544 cmd_parse_build_commands 0:1: -F
1767643302.479548 cmd_parse_build_commands 0:2: #{||:#{alternate_on},#{pane_in_mode},#{mouse_any_flag}}
1767643302.479552 cmd_parse_build_commands 0:3 0:0: send
1767643302.479554 cmd_parse_build_commands 0:3 0:1: -M
1767643302.479556 cmd_parse_build_commands 0:4 0:0: copy-mode
1767643302.479559 cmd_parse_build_commands 0:4 0:1: -e
1767643302.479562 cmd_parse_build_commands 0:0: send
1767643302.479564 cmd_parse_build_commands 0:1: -M
1767643302.479567 args_parse_flags: next -M
1767643302.479569 args_parse_flags: -M
1767643302.479572 args_parse: flags end at 2 of 2
1767643302.479575 cmd_parse_build_commands: send-keys -M
1767643302.479578 cmd_parse_build_commands 0:0: copy-mode
1767643302.479580 cmd_parse_build_commands 0:1: -e
1767643302.479584 args_parse_flags: next -e
1767643302.479586 args_parse_flags: -e
1767643302.479589 args_parse: flags end at 2 of 2
1767643302.479592 cmd_parse_build_commands: copy-mode -e
1767643302.479595 args_parse_flags: next -F
1767643302.479597 args_parse_flags: -F
1767643302.479600 args_parse_flags: next #{||:#{alternate_on},#{pane_in_mode},#{mouse_any_flag}}
1767643302.479602 args_parse: flags end at 2 of 5
1767643302.479605 args_parse: 2 = #{||:#{alternate_on},#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1767643302.479608 args_parse: 3 = send-keys -M (type COMMANDS)
1767643302.479612 args_parse: 4 = copy-mode -e (type COMMANDS)
1767643302.479619 cmd_parse_build_commands: if-shell -F "#{||:#{alternate_on},#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -e }
1767643302.479623 args_parse_flags: next -n
1767643302.479625 args_parse_flags: -n
1767643302.479628 args_parse_flags: next WheelUpPane
1767643302.479630 args_parse: flags end at 2 of 4
1767643302.479633 args_parse: 2 = WheelUpPane (type STRING)
1767643302.479639 args_parse: 3 = if-shell -F "#{||:#{alternate_on},#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -e } (type COMMANDS)
1767643302.479649 cmd_parse_build_commands: bind-key -n WheelUpPane { if-shell -F "#{||:#{alternate_on},#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { copy-mode -e } }
1767643302.479654 cmdq_get_command: [bind-key/0x139d07370] group 865
1767643302.479657 cmdq_append <global>: [bind-key/0x139d07370]
1767643302.479660 yylex_token: end at WS
1767643302.479662 yylex_token: bind
1767643302.479665 yylex_token: end at WS
1767643302.479668 yylex_token: -n
1767643302.479671 yylex_token: end at WS
1767643302.479674 yylex_token: MouseDown2Pane
1767643302.479677 yylex_token: end at WS
1767643302.479679 yylex_token: select-pane
1767643302.479683 yylex_token: end at ;
1767643302.479685 yylex_token: -t=
1767643302.479688 yylex_token: end at WS
1767643302.479690 yylex_token: if
1767643302.479692 yylex_token: end at WS
1767643302.479694 yylex_token: -F
1767643302.479698 yylex_token: end at WS
1767643302.479700 yylex_token: #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479703 yylex_token: end at WS
1767643302.479705 yylex_token: send
1767643302.479708 yylex_token: end at WS
1767643302.479710 yylex_token: -M
1767643302.479712 yylex_token: end at WS
1767643302.479715 yylex_token: paste
1767643302.479717 yylex_token: end at WS
1767643302.479719 yylex_token: -p
1767643302.479722 cmd_parse_build_commands 0:0: bind
1767643302.479725 cmd_parse_build_commands 0:1: -n
1767643302.479728 cmd_parse_build_commands 0:2: MouseDown2Pane
1767643302.479730 cmd_parse_build_commands 0:3 0:0: select-pane
1767643302.479733 cmd_parse_build_commands 0:3 0:1: -t=
1767643302.479735 cmd_parse_build_commands 0:3 1:0: if
1767643302.479738 cmd_parse_build_commands 0:3 1:1: -F
1767643302.479745 cmd_parse_build_commands 0:3 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479747 cmd_parse_build_commands 0:3 1:3 0:0: send
1767643302.479750 cmd_parse_build_commands 0:3 1:3 0:1: -M
1767643302.479754 cmd_parse_build_commands 0:3 1:4 0:0: paste
1767643302.479758 cmd_parse_build_commands 0:3 1:4 0:1: -p
1767643302.479761 cmd_parse_build_commands 0:0: select-pane
1767643302.479763 cmd_parse_build_commands 0:1: -t=
1767643302.479766 cmd_parse_build_commands 1:0: if
1767643302.479768 cmd_parse_build_commands 1:1: -F
1767643302.479772 cmd_parse_build_commands 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479776 cmd_parse_build_commands 1:3 0:0: send
1767643302.479778 cmd_parse_build_commands 1:3 0:1: -M
1767643302.479781 cmd_parse_build_commands 1:4 0:0: paste
1767643302.479783 cmd_parse_build_commands 1:4 0:1: -p
1767643302.479786 args_parse_flags: next -t=
1767643302.479789 args_parse_flag_argument: -t = =
1767643302.479791 args_parse: flags end at 2 of 2
1767643302.479795 cmd_parse_build_commands 0:0: send
1767643302.479797 cmd_parse_build_commands 0:1: -M
1767643302.479800 args_parse_flags: next -M
1767643302.479802 args_parse_flags: -M
1767643302.479805 args_parse: flags end at 2 of 2
1767643302.479808 cmd_parse_build_commands: send-keys -M
1767643302.479811 cmd_parse_build_commands 0:0: paste
1767643302.479813 cmd_parse_build_commands 0:1: -p
1767643302.479817 args_parse_flags: next -p
1767643302.479819 args_parse_flags: -p
1767643302.479821 args_parse: flags end at 2 of 2
1767643302.479825 cmd_parse_build_commands: paste-buffer -p
1767643302.479827 args_parse_flags: next -F
1767643302.479829 args_parse_flags: -F
1767643302.479832 args_parse_flags: next #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479834 args_parse: flags end at 2 of 5
1767643302.479837 args_parse: 2 = #{||:#{pane_in_mode},#{mouse_any_flag}} (type STRING)
1767643302.479840 args_parse: 3 = send-keys -M (type COMMANDS)
1767643302.479843 args_parse: 4 = paste-buffer -p (type COMMANDS)
1767643302.479850 cmd_parse_build_commands: select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { paste-buffer -p }
1767643302.479853 args_parse_flags: next -n
1767643302.479855 args_parse_flags: -n
1767643302.479858 args_parse_flags: next MouseDown2Pane
1767643302.479860 args_parse: flags end at 2 of 4
1767643302.479862 args_parse: 2 = MouseDown2Pane (type STRING)
1767643302.479870 args_parse: 3 = select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { paste-buffer -p } (type COMMANDS)
1767643302.479880 cmd_parse_build_commands: bind-key -n MouseDown2Pane { select-pane -t = ; if-shell -F "#{||:#{pane_in_mode},#{mouse_any_flag}}" { send-keys -M } { paste-buffer -p } }
1767643302.479885 cmdq_get_command: [bind-key/0x139d07bb0] group 881
1767643302.479887 cmdq_append <global>: [bind-key/0x139d07bb0]
1767643302.479890 yylex_token: end at WS
1767643302.479892 yylex_token: bind
1767643302.479897 yylex_token: end at WS
1767643302.479900 yylex_token: -n
1767643302.479903 yylex_token: end at WS
1767643302.479905 yylex_token: DoubleClick1Pane
1767643302.479908 yylex_token: end at WS
1767643302.479910 yylex_token: select-pane
1767643302.479913 yylex_token: end at ;
1767643302.479915 yylex_token: -t=
1767643302.479918 yylex_token: end at WS
1767643302.479920 yylex_token: if
1767643302.479923 yylex_token: end at WS
1767643302.479926 yylex_token: -F
1767643302.479929 yylex_token: end at WS
1767643302.479934 yylex_token: #{||:#{pane_in_mode},#{mouse_any_flag}}
1767643302.479937 yylex_token: end at WS
1767643302.479940 yylex_token: send
1767643302.479943 yylex_token: end at WS
1767643302.479946 yylex_token: -M
1767643302.479949 yylex_token: end at WS
1767643302.479953 yylex_token: copy-mode
1767643302.479958 yylex_token: end at ;
1767643302.479962 yylex_token: -H
1767643302.479964 yylex_token: end at WS
1767643302.479967 yylex_token: send
1767643302.479969 yylex_token: end at WS
1767643302.479971 yylex_token: -X
1767643302.479974 yylex_token: end at ;
1767643302.479976 yylex_token: select-word
1767643302.479985 yylex_token: end at WS
1767643302.479987 yylex_token: run
1767643302.479990 yylex_token: end at ;
1767643302.479992 yylex_token: -d0.3
1767643302.479995 yylex_token: end at WS
1767643302.479997 yylex_token: send
1767643302.480000 yylex_token: end at WS
1767643302.480002 yylex_token: -X
1767643302.480006 yylex_token: end at WS
1767643302.480008 yylex_token: copy-pipe-and-cancel
1767643302.480011 cmd_parse_build_commands 0:0: bind
1767643302.480014 cmd_parse_build_commands 0:1: -n
1767643302.480016 cmd_parse_build_commands 0:2: DoubleClick1Pane
1767643302.480020 cmd_parse_build_commands 0:3 0:0: select-pane
1767643302.480024 cmd_parse_build_commands 0:3 0:1: -t=
1767643302.480027 cmd_parse_build_commands 0:3 1:0: if
1767643302.480029 cmd_parse_build_commands 0:3 1:1: -F
1767643302.480032 cmd_parse_build_commands 0:3 1:2: #{||:#{pane_in_mode},#{mouse_any_flag}}
